CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
Eduvanz,2016,Mumbai,"Varun Chopra, Raheel Shah",Sequoia India,,Mumbai,Fintech,Digital finance NBFC that provides affordable education loans,5000000.0,Series A
DocSumo,2019,Mumbai,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.",,Mumbai,AI,Platform helps to automate and analyse financial data,220000.0,Seed round
Chingari,2018,Bangalore,"Biswatma Nayak, Siddharth Gautam","AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",,Bangalore,Media,Short video platform,1300000.0,Seed round
Rebel Foods,2011,Mumbai,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,,Mumbai,Food tech,Cloud kitchen platform,26500000.0,Series E2
Hevo,2017,Bangalore,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom",,Bangalore,Tech,Data pipeline startup,8000000.0,Series A
BigSpoon Foods,2019,Ahmedabad,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",,Ahmedabad,Foodtech,Cloud kitchen startup,2000000.0,Pre series A
Toppr,2013,Mumbai,Zishaan Hayath,Foundation Holdings,,Mumbai,Edtech,It provides AI-based after school learning app for K12,46761000.0,Series D
Pickright Technologies,2019,Bangalore,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",,Bangalore,Fintech,Marketplace for stock market investors and advisors,175000.0,Seed Round
Entri,2017,Kochi,Mohammed Hisamuddin,Good Capital,,Kochi,Edtech,Local language learning startup,1700000.0,Pre series A
Ather Energy,2013,Bangalore,"Tarun Mehta, Swapnil Jain",Hero MotoCorp,,Bangalore,Automobile,Electric scooter manufacturer,11241000.0,Series C
Vegrow,2020,Bangalore,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Matrix Partners India, Ankur Capital",,Bangalore,Agritech,It is building an asset-light farm by partnering with small farms on a profit-sharing model,2500000.0,Seed Round
StyleDotMe,2014,Gurugram,"Meghna Saraogi, Akhil Tolani",Survam Partners,,Gurugram,Fashion Tech,"mirrAR, helps jewellers sell jewellery with no physical inventory",467000.0,Pre series A
Vedantu,2011,Bangalore,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Coatue,,Bangalore,Edtech,Onine learning platform,100000000.0,Series D
Yumlane,2016,Mumbai,Hitesh Ahuja,Jetty Ventures,,Mumbai,Cloud Kitchen,Online retailer that offers a range of on-the-go hot snacking and meals,1000000.0,Pre series A
Plum,2019,Bangalore,"Abhishek Poddar, Saurabh Arora",Incubate Fund,,Bangalore,Healthtech,Provides health benefits to corporates,927000.0,Seed Round
IncNut Digital,2011,Hyderabad,"Chaitanya Nallan, Sangram Simha, Veerendra Shivhare",RPSG Ventures,,Hyderabad,Ecommerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,4000000.0,Series A
GigIndia,2017,Pune,"Sahil Sharma, Aditya Shirole",Incubate Fund India,,Pune,Tech,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,971000.0,Pre series A
Cuemath,2013,Bangalore,Manan Khurma,Trifecta Capital,,Bangalore,Edtech,It helps students to learn math online,2888000.0,Series B
Blue Sky Analytics,2018,Gurugram,"Abhilasha, Kshitij Purwar","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",,Gurugram,Data Intelligence,"It is building AI-powered infrastructure to analyse air quality, pollution etc",1200000.0,Seed Round
Decentro,2020,Bangalore,Rohit Taneja,Y Combinator,,Bangalore,Fintech,Automated API-based platform that enables financial integrations.,15500000.0,Series A
Zolostays,2015,Bangalore,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry","Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",,Bangalore,Co-living,It offers affordable housing apartments to young professionals and students,56000000.0,Series C
Frontier Markets,2011,Jaipur,Ajaitha Shah,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",,Jaipur,Ecommerce,Women entreprenuers sells products and services to rural India,2250000.0,Pre series A
Aye Finance,2014,Gurugram,"Vikram Jetley, Sanjay Sharma",Invest in Vision,,Gurugram,Fintech,A finance lender to SMEs,16753000.0,Series E
Inspektlabs,2019,Delhi,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",,Delhi,AI,Focuses on building computer vision products for physical asset inspections,600000.0,Pre series A
Big Bang Boom Solutions,2018,Chennai,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,,Chennai,Defense tech,It developed integrated intellectual properties for defense,1000000.0,Series A
Flinto,2013,Chennai,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,,Chennai,Edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,7200000.0,Pre series B
Zetwerk,2018,Bangalore,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,,Bangalore,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,21000000.0,Series C
ChitMonks,2016,Hyderabad,Pavan Adipuram,Unicorn India Ventures,,Hyderabad,Fintech,Offers enterprise private platform for chit fund firms,650000.0,Pre series A
High Street Essentials,2012,New Delhi,"Shivani Poddar, Tanvi Malik","SAIF Partners, India Quotient",,New Delhi,Ecommerce,The parent company of women's fashion brands FabAlley and Indya,2743000.0,Pre series C
Slice,2016,Bangalore,Rajan Bajaj,Gunosy,,Bangalore,Fintech,A financial platform for youngsters,6082000.0,Pre series B
Aye Finance,2014,Gurugram,"Vikram Jetley, Sanjay Sharma","Capital G, Alphabet's Independent growth fund",,Gurugram,Fintech,A finance lender to SMEs,27700000.0,Series E
Instasolv,2019,Noida,"Aditya Singhal, Nishant Sinha, Bahul Arora",Undisclosed,,Noida,Edtech,It is a doubt-solving app for students from Class 6 to 12,2000000.0,Pre series A
Jai Kisan,2017,Mumbai,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",,Mumbai,Fintech,A platform that caters the need of customers in rural areas,3937000.0,Pre series A
Waycool,2015,Chennai,"Karthick Jayraman, Sanjay Dasari",Induslnd Bank,,Chennai,Agritech,Food development and distribution services,5500000.0,Series C
HealthPlix,2016,Bangalore,"Raghuraj Sunder Raju, Prasad Basavaraj, Sandeep Gudibanda","JSW Ventures, Chiratae Ventures, Kalaari Capital",,Bangalore,Healthtech,It provides clinical software for doctors,6000000.0,Series B
YoloBus,2019,Gurugram,"Shailesh Gupta, Mukul Shah",Nexus Venture Partners,,Gurugram,Mobility/Transport,Intercity bus service startup,3300000.0,Series A
Pocket52,2017,Bangalore,Nitesh Salvi,Gameskraft,,Bangalore,Gaming,An online poker playing platform,1750000.0,Series A
Wooden Street,2015,Jaipur,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,,Jaipur,Ecommerce,It enables to order custom furniture online,3000000.0,Series A
BankBazaar,2008,Chennai,"Adhil Shetty, Arjun Shetty, Rati Shetty,",WSV Capital,,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,5967000.0,Series D1
Cube Wealth,2018,Mumbai,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding",,Mumbai,SaaS,A digital wealth management services,500000.0,Mid series
IVF Access,2019,Bangalore,"Naresh Rao, Nikhil Rajmohan, Harinath Chakravarthy, Pravin Sethuraman",Vertex Ventures SEA & India,,Bangalore,Healthtech,It provdes IVF treatments,5000000.0,Series A
Hoi Foods,2017,Delhi,Indrajeet Roy,Crowd Fund,,Delhi,Foodtech,Quality food solution,2000000.0,Pre series A
LendingKart,2014,Ahmedabad,"Harshvardhan Lunia, Mukul Sachan","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,11363000.0,Series D
Eggoz,2017,Bihar,Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital",,Bihar,Agritech,"Provides technology backed, deep integration services to egg farmers",329000.0,Seed Round
Intello Labs,2016,Gurugram,"Milan Sharma, Nishant Mishra, Himani Shah, Devendra Chandani",Saama Capital,,Gurugram,"Supply chain, Agritech",Standardisation and Quality control of fruits & vegetables,5900000.0,Series A
SirionLabs,2012,Gurugram,Ajay Agrawal,"Tiger Global, Avatar Growth Capital",,Gurugram,SaaS,"Provides procurement, outsourcing services & contract management software",44000000.0,Series C
Refrens,2019,Bangalore,"Naman Sarawagi, Mohit Jain","Vijay Shekhar Sharma, Anupam Mittal",,Bangalore,SaaS,"Offers a free invoicing, payments and expense management system",1000000.0,Seed Round
Vernacular ai,2016,Bangalore,"Gupta, Akshay Deshraj, Manoj Sarda","Exfinity Ventures, IAN Fund",,Bangalore,AI,It offers Multiligual AI platform,5100000.0,Series A
Rooter,2016,Delhi,"Piyush, Dipesh Agarwal","Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",,Delhi,Gaming,Live sports engagement platform,1700000.0,Pre series A
Pratilipi,2014,Bangalore,"Ranjeet Pratap Singh, Sankaranarayanan Devarajan, Sahradayi Modi, Rahul Ranjan, Prashant Gupta",Tencent,,Bangalore,Media,A digital platform that connects readers and writers in various languages,9400000.0,Series C
Classplus,2008,Delhi,"Mukul Rustagi, Bhaswat Agarwal",RTP Global,,Delhi,Edtech,"It provides mobile-first software for coaching institutes, tuition centres and private tutors",8200000.0,Series B
MYSUN,2015,Delhi,"Gagan Vermani, Divyanshu Sachdev, Gyan Prakash Tiwari",Undisclosed,,Delhi,Tech,Platform for rooftop solar energy solutions,4257000.0,Pre series A
Convosight,2019,Hyderabad,"Tarun Dhamija, Kartik Bansal","IvyCap Ventures, Sequoia Capital",,Hyderabad,Data Analytics,It helps business gain insights from its community on Facebook groups,4000000.0,Pre series A
Bira91,2015,Bangalore,Ankur Jain,"Sequoia Capital, Sofina",,Bangalore,Beverage,Craft beer maker,20000000.0,Series C
Guvi Geek Network Pvt Ltd,2014,Chennai,"SP Balamurugan, Arun Prakash, Sri Devi",Education Catalyst Fund,,Chennai,Edtech,Operates vernacular-language based education,786000.0,Pre series A
LoadShare,2017,Bangalore,"Raghuram Talluri, Tanmoy Karmakar, Rakib Ahmed",CDC Group,,Bangalore,Logistics,Provides technology based solutions to SMEs in logistics,2004000.0,Series B
Spintly,2017,Goa,"Rohin Parkar, Malcolm Dsouza",Saltwater Venture Sparks,,Goa,IoT,It is a wireless cloud-based access control system,248000.0,Pre series A
Aavenir,2019,Ahmedabad,Ashish Bhandari,Accel,,Ahmedabad,SaaS,Source-to-Pay Software,2000000.0,Seed Round
BankBazaar,2008,Chennai,"Adhil Shetty, Arjun Shetty, Rati Shetty,","Amazon, Sequoia, Walden SKT Venture Fund",,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,3800000.0,Series D
Porter,2014,Mumbai,"Pranav Goel, Uttam Digga",Lightstone Global Funds,,Mumbai,Logistics,Logistics and fleet management,18370000.0,Series D
Capital Float,2013,Bangalore,"Gaurav Hinduja, Sashank Rishyasringa","Amazon Inc`, Dinesh J Hinduja",,Bangalore,Fintech,Online platform that provides working capital finance to SMEs,4800000.0,Series F
Swiggy,2014,Bangalore,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini","Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,43000000.0,Series A
Fingpay,2016,Mumbai,"Pratyush Halen, Anuraag Agrawal",IvyCap Ventures,,Mumbai,Fintech,Provides payment solutions,3500000.0,Series A
Recko,2017,Bangalore,"Prashant Border, Saurya Prakash Sinha",Vertex Ventures,,Bangalore,SaaS,The platform enables AI-powered reconciliation of digital transactions,6000000.0,Series A
MedGenome,2013,Bangalore,Sam Santhosh,LeapFrog Investments,,Bangalore,Healthtech,Genetic diagnostic testing company,55000000.0,Series D
CureFit,2016,Bangalore,"Mukesh Bansal, Ankit Nagori",Temasek,,Bangalore,Health and Fitness,"Integrated platform for food, fitness and meditation.",115000000.0,Series D
Imstrong,2019,Bangalore,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,,Bangalore,Fitness,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,400000.0,Seed Round
Shadez,2018,Mumbai,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,,Mumbai,Interior & decor,Paint Company,100000.0,Seed Round
Stanplus,2016,Hyderabad,Prabhdeep Singh,Pegasus FinInvest,,Hyderabad,Healthtech,Ambulance service,1500000.0,Pre series A
CoreStack,2016,Chennai,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures,,Chennai,Technology,Enterprise cloud governance technology startup,8500000.0,Series A
Vivriti Capital,2017,Chennai,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,,Chennai,Fintech,Digital lending startup,50000000.0,Series B
ZunRoof,2016,Gurugram,"Pranesh Chaudhary, Sushant Sachan",Godrej Investments,,Gurugram,Cleantech,"It specialises in solar rooftop design, installation, and management using technology",3000000.0,Series A
Strata,2019,Bangalore,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India",,Bangalore,Proptech,Real estate investment platform,1500000.0,Seed Round
Tricog,2015,Bangalore,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",,Bangalore,Healthtech,Provides virtual cardiology services through its AI-powered healthcare platforms,10500000.0,Series B
Trell,2016,Bangalore,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",,Bangalore,Social e-commerce,Allows users to share their travel experiences,4000000.0,Pre series A
Chqbook,2017,Gurugram,"Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,,Gurugram,Fintech,"Marketplace for small business owners, offering them products around lending, credit cards etc",5000000.0,Series A
SMEcorner,2014,Mumbai,"Bhatia, Sneha Shah",Paragon Partners,,Mumbai,Fintech,Financial lending firm to SMEs,30000000.0,Series B
Spinny,2015,Haryana,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal",,Haryana,E-tail,Used car retailing platform,43700000.0,Series B
Vogo,2016,Bangalore,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,20000000.0,Series C
Josh Talks,2015,Haryana,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,,Haryana,Media,Community of young individuals providing a platform to showcase their stories,1500000.0,Pre series A
AjnaLens,2014,Thane,"Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)",,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence",1500000.0,Pre series A
Pepper,2017,Mumbai,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal",,Mumbai,Content Marktplace,End to end content creation platform,306900.0,Seed funding
iMerit,2012,Kolkata,Radha Basu,CDC Group Plc,,Kolkata,IT,Turns information into data that is usable for machine learning processes,20000000.0,Series B
BharatPe,2018,Delhi,Ashneer Grover,Ribbit Capital,,Delhi,Fintech,Digital payments platform,75000000.0,Series C
Go Desi,2018,Delhi,Vinay Kothari,Rukam Capital,,Delhi,Foodtech,Provides traditional delicacies,627300.0,Seed Round
Swiggy,2014,Bangalore,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,113000000.0,Series A
Whatfix,2014,Banglore,"Khadim Batti, Vara Kumar",Sequoia Capital India,,Banglore,SaaS,"Digital adoption platform that helps companies provide intuitive onboarding, training and support",32000000.0,Series C
Unacademy,2010,Bangalore,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",,Bangalore,Edtech,Platform that offers online education in India,110000000.0,Series E
Yolo,2019,Gurugram,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,,Gurugram,Transport,Intercity transportation,600000.0,Seed funding
MaxWholesale,2016,Delhi,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)",,Delhi,Ecommerce,B2B ecommerce platform for kirana stores,3000000.0,Series A
Shuttl,2015,Delhi,"Amit Singh, Deepanshu Malviya",SIG Global India Fund,,Delhi,Transport,App based bus aggregator serice,7975700.0,Series C
CodingNinjas,2016,Delhi,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd,,Delhi,Edtech,Online learning platform,5200000.0,Series A
Furlenco,2011,Bangalore,Ajith Mohan Karimpana,Chowdry Associates,,Bangalore,Ecommerce,Furniture rental startup,2200000.0,Series C
Pepperfry,2013,Mumbai,"Ambareesh Murty, Ashish Shah",Pidilite Industries,,Mumbai,E-market,Online home furniture marketplace,40000000.0,Series F
FirstCry,2010,Pune,"Supam Maheshwari, Amitava Saha",Softbank’s Vision Fund,,Pune,E-market,Baby products marketplace,296000000.0,Series E
Waycool,2015,Chennai,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,,Chennai,Agritech,Food development and distribution services,32000000.0,Series C
SuperMoney,2018,Mumbai,Nikhil Banerjee,Unitus Ventures.,,Mumbai,Fintech,Provides financial tools for effective business making,1000000.0,Pre series A
Entri,2017,Kochi,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital,,Kochi,Edtech,It is a app that provides different types of learning content in local languages,1400000.0,Seed Round
Doubtnut,2017,Gurugram,"Tanushri Nagori, Aditya Shankar",Tencent,,Gurugram,Edtech,Multi-lingual digital solutions platform for students,15000000.0,Series A
Kisan Network,2015,Gurugram,"Aditya Agarwalla, Sanjay Agarwalla",Atsushi Taira,,Gurugram,Agritech,Integrated supply chain for farmers to sell their produce directly to buyers,3000000.0,Seed Round
Vogo,2016,Bangalore,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,35000000.0,Series C
Yolo,2019,Gurugram,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,,Gurugram,Transport,Intercity transportation startup,600000.0,Seed Round
WizKlub,2018,Bangalore,Amit Bansal,Incubate Fund India,,Bangalore,Edtech,Helps students solve problems at complex level,982530.0,Seed Funding
Interviewbit,2014,Pune,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)",,Pune,Edtech,Platform that provides coding and interview preparation course by industry professionals from tech companies,200000000.0,Series A
Bizongo,2015,Mumbai,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq,,Mumbai,Marketplace,A B2B marketplace for packaging materials,30000000.0,Series C
AppsFlyer,2011,Bangalore,"Oren Kaniel, Reshef Mann",General Atlantic,,Bangalore,SaaS,Mobile marketing analytics and attribution platform,210000000.0,Series D
Livspace,2014,Bangalore,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment",,Bangalore,Interior Design,It offers end-to-end home design experience for homeowners and home designers,60000000.0,Series D
Samosa Singh,2016,Bangalore,"Shikhar Veer Singh, Nidhi Singh",She Capital,,Bangalore,Food,Offers hygienic Indian Snacks,2700000.0,Series A
Eupheus Learning,2017,New Delhi,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Yuj Ventures,,New Delhi,Edtech,"Provides technology-led, subscription-based learning solutions to schools",4300000.0,Series A
Bounce,2014,Bangalore,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,105000000.0,Series D
Goodmylk,2017,Bangalore,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",,Bangalore,Dairy,Provides Vegan dairy products,400000.0,Seed Round
Zoomcar,2013,Bangalore,"Greg Moran, David Back",Sony Innovation Fund,,Bangalore,Transport & Rentals,A car rental service platform,30000000.0,Series D
Mera Cashier,2019,Noida,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal",,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,250000.0,Seed Round
Bounce,2014,Bangalore,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,97500000.0,Series D
Zinier,2015,Bangalore,Arka Dhar,ICONIQ Capital,,Bangalore,Automation,Provides intelligent field service automation,90000000.0,Series C
ProEves,2016,Delhi,"Divya Agarwal, Ketika Kapoor",1Crowd,,Delhi,Preschool Daycare,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",507000.0,Seed Round
Ninjacart,2015,Bangalore,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3",,Bangalore,B2B Agritech,Online grocery delivery platform,10000000.0,Series C
Wysh,2019,Hyderabad,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital,,Hyderabad,E-connect,Celebrity engagement and wishing platform,2000000.0,Series A
Keito,2016,Pune,Amal PS,Suma Soft Pvt Ltd,,Pune,AI,Enterprise productivity startup,160000.0,Seed Round
HighRadius,2016,Hyderabad,Sashi Narahari,ICONIQ Capital,,Hyderabad,SaaS,"An AI-based platform, to automate accounts receivables and treasury processes.",125000000.0,Series B
Rivigo,2014,Gurugram,"Deepak Garg, Gazal Kalra",Trifecta Capital,,Gurugram,Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",3400000.0,Series F
GoMechanic,2016,Delhi,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners",,Delhi,Automobile Technology,Find automobile repair and maintenance service providers,14700000.0,Series B
Fashor,2017,Chennai,"Vikram Kankaria, Priyanka Kankaria",Sprout venture partners,,Chennai,Fashion,Women’s fashion and apparel,1000000.0,Pre Series A
Shuttl,2015,Delhi,"Amit Singh, Deepanshu Malviya",SIG Global India Fund LLP.,,Delhi,Transport,App based bus aggregator serice,8043000.0,Series C
Pando,2017,Chennai,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures,,Chennai,Logitech,Networked logistics management software,9000000.0,Series A
Unbox Robotics,2019,Bangalore,"Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",,Bangalore,AI startup,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",1200000.0,Pre-series A
Lead School,2012,Mumbai,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",,Mumbai,EdTech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,30000000.0,Series D
Bizongo,2015,Mumbai,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,51000000.0,Series C
FypMoney,2021,Gurugram,Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",,Gurugram,FinTech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",2000000.0,Seed
Fitterfly,2016,Mumbai,Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",3000000.0,Pre-series A
MyDentalPlan,2014,Bangalore,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,,Bangalore,Helathcare,My Dental Plan provides dental care packages and services.,700000.0,Seed
ORAI,2020,Bangalore,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,,Bangalore,IT startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,400000.0,Pre-series A
ixamBee,2016,New Delhi,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",,New Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,300000.0,Seed
CoinSwitch Kuber,2017,Bangalore,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",,Bangalore,FinTech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,25000000.0,Series B
Razorpay,2014,Bangalore,"Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",160000000.0,Series E
ZFW Hospitality,2015,New Delhi,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,150000.0,Pre-seed
Optimized Electrotech,2017,Ahmadabad,"Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,,Ahmadabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",1800000.0,Pre-series A
Chara,2019,Bangalore,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,,Bangalore,Deep Tech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",850000.0,Seed
Sirona Hygiene,2015,New Delhi,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",,New Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,3000000.0,Series A
Pristyn Care,2018,Gurugram,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",,Gurugram,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,53000000.0,Series D
TrulyMadly,2013,New Delhi,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia","Gaurav Munjal, Snehil Khanor",,New Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,2000000.0,Pre-series A
SuperK,2019,"Small Towns, Andhra Pradesh",Neeraj Menta,STRIVE VC,,"Small Towns, Andhra Pradesh",Retail,SuperK is a full-stack solution to empower small format retail stores in India.,800000.0,Seed
TagZ Foods,2019,Bangalore,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,500000.0,Pre-series A
Puresh Daily,2019,Ranchi,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",,Ranchi,Milk startup,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,100000.0,Seed
LimeChat,2020,"Faridabad, Haryana","Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",,"Faridabad, Haryana",AI Chatbot,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,7500000.0,Seed
Dybo,2019,Bangalore,Dhawal Jain,Spanache,,Bangalore,IT,Product Visualisation Technology for Commerce,100000.0,Seed
