funding_year,company_name,founded_year,headquarters_city,headquarters_state,industry,about_company,founders,investor,amount_usd,funding_round
2018,Ninjacart,,Bangalore,Karnataka,"AgTech, B2B, Supply Chain Management",Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,,,30000000.0,Series B
2018,NirogStreet,,Gurugram,Haryana,"Apps, Health Care, Internet, Mobile Apps, Personal Health",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,,,300000.0,Seed
2018,Nivesh.com,,Noida,Uttar Pradesh,"Finance, Financial Services, Marketing",Nivesh.com is a mass market mutual funds investment platform.,,,360000.0,Seed
2018,NoPaperForms Solutions Pvt. Ltd.,,New Delhi,Delhi,"EdTech, Education, Information Services, SaaS","NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",,,3980000.0,Series B
2018,Notesgen,,New Delhi,Delhi,"EdTech, Education, Enterprise Software, Peer to Peer",A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,,,150000.0,Seed
2018,Nua,,Mumbai,Maharashtra,Consumer Goods,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,,,,Seed
2018,Nutrisattva (Proliva),,Anand,Gujarat,"Fitness, Food and Beverage, Health Care, Nutrition",Nutrisattva is a protein innovation compan,,,,Angel
2018,Nykaa,,Mumbai,Maharashtra,"Beauty, Fashion, Wellness",Nykaa.com is a premier online beauty and wellness destination,,,13560000.0,Secondary Market
2018,ONGO Framework,,Hyderabad,Andhra Pradesh,"B2B, Information Services, Information Technology",ONGO Framework is a B2B IT and digital solution provider.,,,1000000.0,Angel
2018,OPEN,,Bangalore,Karnataka,Banking,Open up to a new world of Banking,,,,Seed
2018,ORO Wealth,,Mumbai,Maharashtra,â,Online wealth management platform,,,1600000.0,Series A
2018,OTO Capital,,Mumbai,Maharashtra,Automotive,OTO Capital is a platform that allows you to own a car faster than ever.,,,600000.0,Seed
2018,OYO,,Gurugram,Haryana,"Hospitality, Hotel, Leisure, Travel",OYO is an Indian hospitality startup that operates a network of budget hotels.,,,100000000.0,Series E
2018,OckyPocky,,Haryana,Haryana,"E-Learning, Internet, Video Games",OckyPocky is a interactive and personalised language learning app for preschool kids.,,,,Angel
2018,Ola,,Kormangala,Karnataka,"Apps, E-Commerce, Internet, Mobile, Ride Sharing, Transportation",Ola is a mobile app that brings together cab drivers and customers using technology to make transportation hassle-free in India.,,,50000000.0,Venture - Series Unknown
2018,Olly Smart Credit Card,,New Delhi,Delhi,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Olly is a digital credit card for India's working masses and young people.,,,,Seed
2018,OneAssist,,Mumbai,Maharashtra,"Financial Services, SaaS, Security",OneAssist is a protection & assistance services platform.,,,2400000.0,Debt Financing
2018,Ontrack Technologies Pvt. Ltd,,Bangalore,Karnataka,Retail,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,,,,Seed
2018,Ora,,Kolkata,West Bengal,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,,,,Seed
2018,Orbo.ai,,Mumbai,Maharashtra,Internet,Orbo is a computer vision and deep facial technology company.,,,,Seed
2018,Origo,,Gurugram,Haryana,â,"Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector.",,,9600000.0,Venture - Series Unknown
2018,PaisaDukan,,Mumbai,Maharashtra,Financial Services,A P2P lending marketplace platform,,,650000.0,Seed
2018,Pando,,Chennai,Tamil Nadu,"Logistics, Supply Chain Management",A startup which digitizes logistics operations for Fortune 500 companies.,,,2000000.0,Seed
2018,Pandorum Technologies,,Bangalore,Karnataka,Biotechnology,Bengaluru based biotech startup.,,,3600000.0,Series A
2018,Parkwheels,,Haryana,Haryana,"Industrial, Industrial Automation","Parkwheels aims at solving the big, bad & unsexy parking problems of India.",,,144000.0,Seed
2018,PayMe India,,Noida,Uttar Pradesh,"Financial Services, FinTech",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,,,2000000.0,Angel
2018,Paymatrix,,Hyderabad,Andhra Pradesh,"Credit Cards, Payments, Property Insurance, Property Management, Rental Property",India's Leading Property Rent management platform,,,100000.0,Seed
2018,Pentation Analytics,,Mumbai,Maharashtra,"Information Services, Information Technology, InsurTech",Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,,,,Seed
2018,PerkFinance,,Bangalore,Karnataka,"Consumer Lending, FinTech",PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,,,900000.0,Seed
2018,Perpule,,Bangalore,Karnataka,"Apps, Payments, Retail",Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,,,4080000.0,Series A
2018,Perspectico,,New Delhi,Delhi,"Career Planning, Education, Internet",An Education Management startup.,,,,Seed
2018,PetSutra,,Gurugram,Haryana,Veterinary,Gurugram-based Online petcare platform.,,,114000.0,Seed
2018,PharmEasy,,Mumbai,Maharashtra,"Health Care, Pharmaceutical, Wellness",PharmEasy - Indias largest healthcare delivery platform,,,80000000.0,Series C
2018,Picture TIme,,New Delhi,Delhi,Digital Entertainment,Operator of low-cost mobile cinema theatres in rural areas.,,,3000000.0,Seed
2018,Picxy,,Guntur,Andhra Pradesh,Internet,"A stock photo startup based in Amravati, Andhra Pradesh.",,,130000.0,Seed
2018,PinkBlue,,Bangalore,Karnataka,"Health Care, Hospital, Supply Chain Management",PinkBlue.in - Super-efficient supply-chain for clinical supplies,,,300000.0,Seed
2018,Pipa+Bella,,Mumbai,Maharashtra,"E-Commerce, Fashion, Jewelry, Retail",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,,,1000000.0,Series A
2018,Pitstop,,Bangalore,Karnataka,"Automotive, Search Engine, Service Industry",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,,,1200000.0,Seed
2018,PivotRoots,,Mumbai,Maharashtra,"Advertising, Consulting, Digital Marketing",Digital Marketing powered by Data & Technology; fueled by Design thinking,,,,Series A
2018,Pixr8,,Ghaziabad,Uttar Pradesh,"Digital Media, Incubators, Social Entrepreneurship",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,,,50000.0,Seed
2018,Placio,,Noida,Uttar Pradesh,"Hospitality, Real Estate",Placio is a student housing and a complete broker-free platform.,,,2000000.0,Seed
2018,Planet11 eCommerce Solutions India (Avenue11),,Bangalore,Karnataka,â,"Planet11 is backed by SK Planet, which is a part of the SK Group â one of the largest conglomerates in South Korea.",,,3120000.0,Corporate Round
2018,PlanetSpark,,Gurugram,Haryana,"E-Learning, EdTech, Education",PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,,,192000.0,Seed
2018,Planys Technologies,,Chennai,Tamil Nadu,"Manufacturing, Oil and Gas, Robotics",Planys Technologies is Indiaâs first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,,,1682400.0,Series A
2018,Playtoome,,Bangalore,Karnataka,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Playtoome is a live entertainment destination,,,240000.0,Seed
2018,Plum Goodness,,Thane,Maharashtra,"Beauty, Health Care",Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,,,,Series A
2018,Pooltoo,,New Delhi,Delhi,Transportation,Pooltoo offers a premium ride sharing platform.,,,,Seed
2018,Portea Medical,,Bangalore,Karnataka,"Health Care, Hospital, Medical",Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,,,3000000.0,Debt Financing
2018,Poshmiles Online Solutions Private Limited,,Bangalore,Karnataka,Travel,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,,,,Seed
2018,Pratilipi,,Bangalore,Karnataka,"Digital Media, EBooks, Publishing, Reading Apps",Amazon's Kindle Direct Publishing for Indian Languages,,,4300000.0,Series A
2018,Predible Health,,Bangalore,Karnataka,Medical Device,Healthcare devices for cancer detection,,,,Seed
2018,PregBuddy,,Bangalore,Karnataka,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",PregBuddy is a smart connected care platform for expecting mothers.,,,,Seed
2018,PrestLoans,,New Delhi,Delhi,"Credit, Financial Services, FinTech, Personal Finance","PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",,,100000.0,Seed
2018,Printline Media(ThePrint),,New Delhi,Delhi,"Digital Media, News, Publishing",A digital news platform.,,,418800.0,Seed
2018,Propelld,,Bangalore,Karnataka,"Education, Financial Services, FinTech",Propelld is a student education financing platform.,,,250000.0,Seed
2018,Propshop24,,Mumbai,Maharashtra,E-Commerce,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",,,500000.0,Seed
2018,Qandle,,Gurugram,Haryana,Software,A cloud-based HR management and employee engagement platform.,,,1200000.0,Seed
2018,Qbera,,Bangalore,Karnataka,"Finance, Financial Services",Qbera is a managed marketplace for unsecured personal loans.,,,1680000.0,Venture - Series Unknown
2018,Quikr,,Bangalore,Karnataka,"Classifieds, Internet, Marketplace, Rental Property","Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",,,6600000.0,Debt Financing
2018,RAHI Care,,Chandigarh,Chandigarh,"Health Care, Hospital",RAHI Care is a Health Care company.,,,,Venture - Series Unknown
2018,Racetrack,,Bangalore,Karnataka,"Artificial Intelligence, Cloud Computing, Video","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",,,4104000.0,Seed
2018,Rays Power Infra,,Jaipur,Rajasthan,"Energy, Solar",Rays Power Infra is a leading integrated Solar Power Company.,,,24000000.0,Venture - Series Unknown
2018,Reculta,,Noida,Uttar Pradesh,"Education, Human Resources",A campus recruitment solution provider.,,,,Seed
2018,RevFin,,Delhi,Delhi,"Accounting, Banking, Finance",RevFin is a digital lending company.,,,,Seed
2018,Roadcast,,New Delhi,Delhi,â,Transforming the way businesses deliver. Work-force & fleet mobility tools.,,,250000.0,Angel
2018,Rocketium,,Bangalore,Karnataka,"Marketing, Social Media, Video",Easy video creation for social media.,,,240000.0,Seed
2018,Rockmetric,,Mumbai,Maharashtra,Information Technology,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",,,,Grant
2018,Rooter,,India,Asia,Sports,Rooter is a mobile-based platform,,,540000.0,Seed
2018,Roposo,,Gurugram,Haryana,"Internet, Social Network, TV",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,,,10000000.0,Series C
2018,Royal Sundaram General Insurance Co. Limited,,Kalpakkam,Tamil Nadu,"Health Insurance, Insurance, Life Insurance","Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals, families and businesses.",,,210000000.0,Corporate Round
2018,Rubix108 Technologies,,Pune,Maharashtra,Information Technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the dayâs learning experiences.,,,1000000.0,Seed
2018,RupeeCircle,,Mumbai,Maharashtra,"Financial Services, Lending, Peer to Peer",RupeeCircle is a new age finance company.,,,480000.0,Seed
2018,Rupeek,,Bangalore,Karnataka,"Financial Services, Lending",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,,,6830000.0,Series A
2018,SBI Life,,Mumbai,Maharashtra,Insurance,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,,,742000000.0,Private Equity
2018,SEDEMAC Mechatronics,,Mumbai,Maharashtra,"Automotive, Electric Vehicle, Renewable Energy",SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,,,,Venture - Series Unknown
2018,SaffronStays,,Mumbai,Maharashtra,â,SaffronStays connects travellers to India's Incredible hosts.,,,2000000.0,Seed
2018,Satin Creditcare Network Limited (SCNL),,New Delhi,Delhi,"Banking, Finance, Financial Services, Non Profit",Satin is a non-banking finance company providing individual loans to urban shopkeepers.,,,30000000.0,Post-IPO Debt
2018,Sattviko,,New Delhi,Delhi,"Food Processing, Retail",Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,,,,Angel
2018,Satvacart,,Gurugram,Haryana,"E-Commerce, Food Processing",Satvacart is a Gurgaonâs largest online supermarket,,,,Seed
2018,Satya MicroCapital,,New Delhi,Delhi,"Finance, Financial Exchanges, Financial Services, Micro Lending",New Delhi-based non-banking financial company.,,,4800000.0,Venture - Series Unknown
2018,Scale Labs,,Delhi,Delhi,â,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,,,1000000.0,Seed
2018,Scapic,,Bangalore,Karnataka,"Cloud Computing, Computer, SaaS, Software",Virtual/Augmented Reality Start Up .,,,500000.0,Seed
2018,Scholify,,Bangalore,Karnataka,â,Edutech,,,,Pre-Seed
2018,SectorQube,,Ernakulam,Kerala,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",SectorQube develops smart kitchen devices that make food automatically.,,,,Seed
2018,Sensibull,,Bangalore,Karnataka,Trading Platform,Investment Management Platform,,,300000.0,Seed
2018,Sequretek,,Mumbai,Maharashtra,â,Sequretek is a cyber security start-up.,,,3700000.0,Venture - Series Unknown
2018,ShakeDeal,,Bangalore,Karnataka,"B2B, E-Commerce, Enterprise",Home of B2B Commerce,,,,Seed
2018,Shape (School Health and Physical Education),,Pune,Maharashtra,Education,Physical education start up,,,200000.0,Seed
2018,ShareChat,,Bangalore,Karnataka,"Internet, Mobile Apps, Social Network",ShareChat is a social networking and regional content platform for the fast growing Internet users in India.,,,99230000.0,Series C
2018,Shirsa Labs,,Mumbai,Maharashtra,"Education, Gaming, Training",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,,,500000.0,Seed
2018,Shop101,,Mumbai,Maharashtra,"Apps, E-Commerce, Internet",#1 Online Selling App. Indiaâs leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,,,11000000.0,Series B
2018,Shopkirana,,Indore,Madhya Pradesh,"E-Commerce, Mobile, Retail",Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,,,2000000.0,Venture - Series Unknown
2018,Shuttl,,Gurugram,Haryana,"Apps, Mobile, Transportation","Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone.",,,1000000.0,Debt Financing
2018,Signzy,,Bangalore,Karnataka,"Computer, FinTech, Risk Management, Software",Signzy are creating 'building blocks for a Digital Trust system.,,,2880000.0,Series A
2018,Silversparro Technologies Pvt. Ltd,,Gurugram,Haryana,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Silversparro is a deep learning technology solution provider.,,,300000.0,Seed
2018,Simulanis,,New Delhi,Delhi,Training,A Delhi-based Augmented Reality and Virtual Reality technology development company.,,,500000.0,Seed
2018,Singularity Dynamics,,Bangalore,Karnataka,Artificial Intelligence,Singularity Dynamics is a Chip-design testing startup.,,,,Seed
2018,Sleepy Owl Coffee,,New Delhi,Delhi,Food and Beverage,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",,,420000.0,Seed
2018,SlicePay,,Bangalore,Karnataka,"FinTech, Internet, Payments, Service Industry",SlicePay is an AI based instant credit app for youngsters in India.,,,14900000.0,Series A
2018,SmartVizX,,Noida,Uttar Pradesh,"Software, Virtual Reality",It is a Virtual Reality Solutions StartUp,,,1450000.0,Seed
2018,Smartcoin,,Bangalore,Karnataka,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Providing financial access to the millions of mobile users in India using alternative credit assessment,,,2000000.0,Seed
2018,Snapmint,,Mumbai,Maharashtra,"Consumer Lending, Financial Services, Lending, Personal Finance","Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",,,,Seed
2018,Spinny,,Gurugram,Haryana,"E-Commerce, E-Commerce Platforms, Internet, Retail",Used cars marketplace in India. Ushering new era of transparency and convenience.,,,11000000.0,Series A
2018,Spoofin,,New Delhi,Delhi,"Music, Social Network, Video",A social networking app that lets you create and view Spoofs of your favourite videos.,,,,Venture - Series Unknown
2018,Sportido,,Noida,Uttar Pradesh,"Social Media, Sports",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,,,,Seed
2018,Sports Flashes Pvt. Ltd,,New Delhi,Delhi,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",,,1000000.0,Seed
2018,Sqrrl Fintech,,Gurugram,Haryana,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Personal Finance,,,1000000.0,Seed
2018,Square Off,,Mumbai,Maharashtra,"Internet of Things, Robotics",Delivering Imagination,,,1100000.0,Seed
2018,Stanza Living,,New Delhi,Delhi,"Hospitality, Information Technology, Travel Accommodations",Stanza Living is a co-living platform created for students moving to a new place.,,,8760000.0,Venture - Series Unknown
2018,Stelis Biopharma,,Bangalore,Karnataka,Biopharma,Stelis Biopharma is a vertically integrated biopharmaceutical company,,,100000000.0,Series B
2018,Steradian Semiconductors,,Bangalore,Karnataka,â,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,,,,Seed
2018,StockEdge,,Kolkata,West Bengal,"Analytics, Apps, Market Research","StockEdge is a unique platform, which is 100% focused on research and analytics",,,1100000.0,Seed
2018,Stones2Milestones,,Gurugram,Haryana,"E-Learning, Education, Higher Education",Stones2milestones is a Gurgaon Based Learning Company.,,,,Seed
2018,Streak,,Bangalore,Karnataka,Financial Services,Algorithmic trading platform.,,,270000.0,Seed
2018,Streo,,Gurugram,Haryana,Music Streaming,"Live stream music from nightclubs, bars & festivals!",,,,Seed
2018,Strom Motors,,Mumbai,Maharashtra,Automotive,Strom Motors is a smart urban mobility Company.,,,,Angel
2018,Studds Accessories,,Faridabad,Haryana,E-Commerce,Studds Accessories is a scooter accessories service provider in India,,,12000000.0,Private Equity
2018,Stumagz,,Hyderabad,Andhra Pradesh,Digital Media,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,,,,Seed
2018,Sukkhi Jewellery,,Mumbai,Maharashtra,"Fashion, Jewelry",Sukkhi Jewellery is a Contemporary fashion jewellery brand.,,,6120000.0,Venture - Series Unknown
2018,Survaider,,Bangalore,Karnataka,"Business Intelligence, Customer Service, Market Research, SaaS",Stethoscope for customer feedback !,,,500000.0,Seed
2018,Swiggy,,Bangalore,Karnataka,"Food Delivery, Food Processing, Internet",Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,,,1000000000.0,Series H
2018,Syncremedies Healthcare Pvt Ltd,,Bangalore,Karnataka,"Alternative Medicine, Health Care","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",,,,Seed
2018,TECHBOOZE,,New Delhi,Delhi,Education,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",,,100000.0,Seed
2018,Tabono,,Gurugram,Haryana,Sports,Tabono is a one stop environment for all your fitness solution.,,,,Seed
2018,Taru Naturals,,Mumbai,Maharashtra,"Agriculture, Farming",Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.,,,,Seed
2018,Technology 9 Labs (T9L),,New Delhi,Delhi,Information Technology,Technology 9 Labs is an Information Technology and Services company.,,,,Corporate Round
2018,The Ken,,Bangalore,Karnataka,Digital Media,The Ken is Indiaâs first subscriptions-only business news site,,,1500000.0,Series A
2018,The Social Hook,,Bangalore,Karnataka,Marketing,Fast growing Influencer Marketing platform in India.,,,,Seed
2018,The Souled Store,,Mumbai,Maharashtra,"Fashion, Graphic Design, Wearables","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",,,3000000.0,Venture - Series Unknown
2018,TheCollegeFever,,Bangalore,Karnataka,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",,,250000.0,Seed
2018,Theranosis Life Sciences,,Hyderabad,Andhra Pradesh,"Biotechnology, Health Care, Life Science, Medical Device",A fully functioning cell culture facility and molecular biology setup.,,,,Seed
2018,Toffee,,Gurugram,Haryana,â,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",,,1500000.0,Seed
2018,Togedr,,Gurugram,Haryana,â,Togedr is an activity discovery & booking platform.,,,,Venture - Series Unknown
2018,Tolet for Students,,Jodhpur,Rajasthan,Hospitality,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",,,60000.0,Seed
2018,Toppr,,Mumbai,Maharashtra,"EdTech, Education, Knowledge Management",Toppr.com is an online preparation platform for entrance exams in India.,,,35000000.0,Series C
2018,Tranzmeo,,Cochin,Kerala,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,,,,Pre-Seed
2018,Traveo Soft Pvt. Ltd.,,Bangalore,Karnataka,"Mobile, Software, Travel",AI based Business Travel & Expense management,,,14400.0,
2018,Trell,,Bangalore City,Karnataka,â,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,,,1250000.0,Seed
2018,Trendlyne Technologies,,Bangalore,Karnataka,Financial Services,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,,,200000.0,Seed
2018,Tricog Health Services Pvt Ltd,,Bangalore,Karnataka,"Health Care, Health Diagnostics, Predictive Analytics",Predictive Healthcare Analytics Company,,,4000000.0,Series A
2018,Tripeur,,Bangalore,Karnataka,Information Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,,,600000.0,Seed
2018,Tripshelf,,Kalkaji,Delhi,"Internet, Leisure, Marketplace",Tripshelf is an online market place for holiday packages.,,,192000.0,Seed
2018,True Elements,,Pune,Maharashtra,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,,,600000.0,Seed
2018,Truebil,,Mumbai,Maharashtra,"Automotive, E-Commerce, Marketplace","Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible.",,,2000000.0,Series A
2018,TrustCheckr,,Bangalore,Karnataka,Information Technology,A Bengaluru-based fraud analytics solution provider .,,,100000.0,Angel
2018,Try & Buy,,New Delhi,Delhi,"E-Commerce, Fashion, Shopping",Try & Buy,,,,Seed
2018,Twenty Two Motors,,Haryana,Haryana,"Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.,,,65000000.0,Corporate Round
2018,UClean,,India,Asia,"Clean Energy, CleanTech, Laundry and Dry-cleaning",UClean is a tech enabled laundry service provider.,,,480000.0,Seed
2018,Udaan,,Bangalore,Karnataka,"B2B, Business Development, Internet, Marketplace","Udaan is a B2B trade platform, designed specifically for small and medium businesses in India.",,,225000000.0,Series C
2018,Ultraviolette Automotive,,Bangalore,Karnataka,"Automotive, Electric Vehicle, Energy Storage",Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,,,720.0,Series A
2018,Ummeed Housing Finance Private Limited,,Haryana,Haryana,"Finance, Financial Services",Ummeed Housing Finance Private Limited,,,7200000.0,Series C
2018,University Living,,New Delhi,Delhi,Education,University Living is an online global student housing marketplace.,,,,Seed
2018,UnoTag,,Bangalore,Karnataka,Artificial Intelligence,SaaS to verify counterfeit,,,100000.0,Pre-Seed
2018,UpCyclersLab,,Mumbai,Maharashtra,"Apps, Education, Retail",UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.,,,,Seed
2018,Upwards Fintech,,Mumbai,Maharashtra,"Banking, Financial Services, Internet",Upwards Fintech financial company.,,,5000000.0,Series A
2018,Urban Ladder,,Bangalore,Karnataka,"E-Commerce, E-Commerce Platforms, Furniture, Home Decor, Internet",Urban Ladder is a Bangalore-based online furniture company.,,,5600000.0,Debt Financing
2018,UrbanClap,,Delhi,Delhi,"Apps, Home Services, Information Services, Information Technology",UrbanClap is India's leading managed marketplace for home services.,,,50000000.0,Series D
2018,UrbanPiper,,Bangalore,Karnataka,Software,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,,,,Seed
2018,VTION,,Gurugram,Haryana,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,,,230400.0,Seed
2018,Vahdam Teas,,New Delhi,Delhi,"E-Commerce, Food and Beverage, Tea",Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.,,,2500000.0,Series B
2018,Vebbler,,Bangalore,Karnataka,"File Sharing, Personalization, Social Media",A personal network for close people,,,,Seed
2018,Vedantu,,Bangalore,Karnataka,"EdTech, Education, Mobile, Tutoring",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,,,11000000.0,Series B
2018,Veritas Finance,,Guindy,Tamil Nadu,Financial Services,Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.,,,30000000.0,Venture - Series Unknown
2018,Verloop,,Bangalore,Karnataka,"Customer Service, Information Technology, Internet, Sales Automation",Verloop is an automated customer support and engagement platform.,,,3000000.0,Series A
2018,Verzeo,,Bangalore,Karnataka,E-Learning,Verzeo is anAI-focussed edtech startup.,,,5000000.0,Series A
2018,Virtual MetalStreet(MetalStreet),,Bangalore,Karnataka,"B2B, Marketplace",Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India,,,700000.0,Angel
2018,Vistara,,Haryana,Haryana,Aerospace,Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA),,,240000000.0,Private Equity
2018,Vivish Technologies (myGate),,Bangalore,Karnataka,"Apps, Information Services, Information Technology",India's leading mobile based security management solution .,,,7800000.0,Series A
2018,Vivriti Capital,,Chennai,Tamil Nadu,Financial Services,Vivriti Capital is an online platform for institutional debt in India.,,,28500000.0,Venture - Series Unknown
2018,Vizzbee,,Bhopal,Madhya Pradesh,"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Autonomous Drone Solutions for last mile delivery as well as search and rescue,,,20000.0,Pre-Seed
2018,Vogo Rentals,,Kormangala,Karnataka,"Last Mile Transportation, Railroad, Transportation, Travel",Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.,,,960000.0,Debt Financing
2018,Vokal,,Bangalore,Karnataka,"Internet, Knowledge Management",India's Largest Peer-to-Peer Knowledge Sharing Platform in Indian Languages.,,,1500000.0,Series A
2018,WHR,,Pune,Maharashtra,"Health Care, Information Technology","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",,,143145.0,Seed
2018,WOTU,,Bangalore,Karnataka,Food and Beverage,It operates a business-to-business e-commerce portal for food and beverages.,,,,Seed
2018,Wakefit,,Bangalore,Karnataka,"Manufacturing, Retail",Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,,,7800000.0,Venture - Series Unknown
2018,WalMart India,,Gurugram,Haryana,Retail,"Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,",,,37680000.0,Venture - Series Unknown
2018,Wealthtrust,,Mumbai,Maharashtra,"Finance, Impact Investing, Mobile Apps",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,,,500000.0,Seed
2018,Wedeterna,,Bangalore,Karnataka,Wedding,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",,,,Angel
