Industry In,deals,total_funding,average_funding,median_funding
FinTech,89,2147110000.0,24124831.460674156,6000000.0
Edtech,25,1247900230.0,49916009.2,5200000.0
Automotive,18,1210420000.0,67245555.55555555,12500000.0
Financial Services,51,1085730000.0,21288823.529411763,4500000.0
EdTech,73,1055990000.0,14465616.438356165,2000000.0
Insurance,7,1015225000.0,145032142.85714287,6000000.0
Innovation Management,1,1000000000.0,1000000000.0,1000000000.0
"Food Delivery, Food Processing, Internet",1,1000000000.0,1000000000.0,1000000000.0
E-commerce,38,910520000.0,23961052.63157895,4500000.0
Hospitality,11,728890000.0,66262727.27272727,1200000.0
Logistics,14,553774000.0,39555285.71428572,19185000.0
"EdTech, Education, Higher Education, Secondary Education",1,540000000.0,540000000.0,540000000.0
Finance,7,509282000.0,72754571.42857143,1800000.0
Information Technology & Services,19,499200000.0,26273684.210526317,7000000.0
HealthTech,13,474350000.0,36488461.538461536,3000000.0
SaaS,12,462500000.0,38541666.666666664,11500000.0
AgriTech,29,437000000.0,15068965.51724138,5000000.0
Retail,17,380680000.0,22392941.17647059,4000000.0
Transportation,5,371000000.0,74200000.0,7000000.0
"Energy, Natural Resources",1,365000000.0,365000000.0,365000000.0
E-market,2,336000000.0,168000000.0,168000000.0
Logistics & Supply Chain,11,327270000.0,29751818.181818184,12000000.0
Food & Beverages,18,327090000.0,18171666.666666668,4750000.0
Fintech,26,325188000.0,12507230.76923077,5000000.0
Social media,2,306000000.0,153000000.0,153000000.0
Foodtech,8,299327300.0,37415912.5,9350000.0
SaaS startup,16,298900000.0,18681250.0,950000.0
E-learning,17,292335000.0,17196176.470588237,5000000.0
Crypto,2,261500000.0,130750000.0,130750000.0
Home services,1,250000000.0,250000000.0,250000000.0
Aerospace,1,240000000.0,240000000.0,240000000.0
Computer software,5,235550000.0,47110000.0,1900000.0
Robotics & AI,1,230000000.0,230000000.0,230000000.0
Construction,4,227750000.0,56937500.0,51100000.0
"B2B, Business Development, Internet, Marketplace",1,225000000.0,225000000.0,225000000.0
"Food Delivery, Hospitality, Reservations, Restaurants, Search Engine",1,210000000.0,210000000.0,210000000.0
"Health Insurance, Insurance, Life Insurance",1,210000000.0,210000000.0,210000000.0
"Health, Wellness & Fitness",10,205900000.0,20590000.0,6150000.0
Automotive and Rentals,2,202500000.0,101250000.0,101250000.0
AI startup,12,200300000.0,16691666.666666666,1350000.0
BioTechnology,2,200000000.0,100000000.0,100000000.0
Tech Startup,12,185250000.0,15437500.0,3200000.0
"Energy, Renewable Energy, Solar",1,185000000.0,185000000.0,185000000.0
"Financial Services, Venture Capital",1,184704000.0,184704000.0,184704000.0
Hospital & Health Care,7,181300000.0,25900000.0,4000000.0
Cloud kitchen,1,175000000.0,175000000.0,175000000.0
D2C,2,171000000.0,85500000.0,85500000.0
Banking,3,163000000.0,54333333.333333336,44000000.0
Healthtech,10,160050400.0,16005040.0,4750000.0
Software Startup,2,155000000.0,77500000.0,77500000.0
D2C Business,1,150000000.0,150000000.0,150000000.0
Unknown,9,146649600.0,16294400.0,4000000.0
Entertainment,5,143692000.0,28738400.0,3000000.0
Healthcare,16,141230000.0,8826875.0,4500000.0
Computer Software,12,138600000.0,11550000.0,3500000.0
Automobile,4,137241000.0,34310250.0,30620500.0
Health and Fitness,1,115000000.0,115000000.0,115000000.0
Interior Design,3,114000000.0,38000000.0,50000000.0
Gaming,12,111650000.0,9304166.666666666,2000000.0
"Banking, Finance, Financial Services",2,104300000.0,52150000.0,52150000.0
Tech,8,103618000.0,12952250.0,5628500.0
SaaS platform,2,100600000.0,50300000.0,50300000.0
Recruitment,2,100200000.0,50100000.0,50100000.0
"Automotive, Rental, Sharing Economy",1,100000000.0,100000000.0,100000000.0
"Hospitality, Hotel, Leisure, Travel",1,100000000.0,100000000.0,100000000.0
Fashion & Lifestyle,1,100000000.0,100000000.0,100000000.0
"Fantasy Sports, Mobile, Sports",1,100000000.0,100000000.0,100000000.0
Biopharma,1,100000000.0,100000000.0,100000000.0
"Internet, Mobile Apps, Social Network",1,99230000.0,99230000.0,99230000.0
Automation,3,90810000.0,30270000.0,410000.0
B2B Ecommerce,1,85000000.0,85000000.0,85000000.0
Cosmetics,8,81900000.0,10237500.0,3500000.0
"Health Care, Pharmaceutical, Wellness",1,80000000.0,80000000.0,80000000.0
Finance company,1,80000000.0,80000000.0,80000000.0
"Manchester, Greater Manchester",1,75000000.0,75000000.0,75000000.0
"Automotive, E-Commerce, Information Services",1,75000000.0,75000000.0,75000000.0
Human Resources,4,72320000.0,18080000.0,1100000.0
"E-Commerce, Furniture, Interior Design",1,70000000.0,70000000.0,70000000.0
"Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",1,65000000.0,65000000.0,65000000.0
"Finance, Financial Services",5,63380000.0,12676000.0,7200000.0
Manufacturing,3,62570000.0,20856666.666666668,19200000.0
Technology,4,60500000.0,15125000.0,4750000.0
Food,4,58200000.0,14550000.0,13850000.0
HealthCare,10,57300000.0,5730000.0,3500000.0
Co-living,1,56000000.0,56000000.0,56000000.0
Consumer Goods,13,52744000.0,4057230.769230769,700000.0
Insuretech,5,52500000.0,10500000.0,2500000.0
Travel,3,52400000.0,17466666.666666668,2000000.0
Automotive tech,2,52000000.0,26000000.0,26000000.0
Consumer Services,5,51200000.0,10240000.0,2000000.0
—,20,51160400.0,2558020.0,1275000.0
B2B E-commerce,1,51000000.0,51000000.0,51000000.0
Marketplace,2,51000000.0,25500000.0,25500000.0
"Health Care, Health Insurance",1,50000000.0,50000000.0,50000000.0
Clothing,1,50000000.0,50000000.0,50000000.0
InsureTech,2,50000000.0,25000000.0,25000000.0
"E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media",1,50000000.0,50000000.0,50000000.0
"Apps, E-Commerce, Internet, Mobile, Ride Sharing, Transportation",1,50000000.0,50000000.0,50000000.0
"Apps, Home Services, Information Services, Information Technology",1,50000000.0,50000000.0,50000000.0
"Accounting, Apps, FinTech",1,48000000.0,48000000.0,48000000.0
Social commerce,2,47900000.0,23950000.0,23950000.0
Mobility,3,45540000.0,15180000.0,5000000.0
Agritech,6,45329000.0,7554833.333333333,2750000.0
E-tail,1,43700000.0,43700000.0,43700000.0
Car Trade,1,42500000.0,42500000.0,42500000.0
Delivery service,1,40000000.0,40000000.0,40000000.0
Telecommunications,2,40000000.0,20000000.0,20000000.0
"Continuing Education, EdTech, Education, Skill Assessment",1,40000000.0,40000000.0,40000000.0
Pet care,2,39600000.0,19800000.0,19800000.0
Food and Beverages,2,39300000.0,19650000.0,19650000.0
Automobiles,2,39000000.0,19500000.0,19500000.0
AI,7,38580000.0,5511428.571428572,1500000.0
"EdTech, Education, Knowledge Management",1,35000000.0,35000000.0,35000000.0
"Biotechnology, Health Care, Pharmaceutical",1,35000000.0,35000000.0,35000000.0
Transport & Rentals,2,34800000.0,17400000.0,17400000.0
B2B,2,34000000.0,17000000.0,17000000.0
Social Media,2,32000000.0,16000000.0,16000000.0
Social network,1,32000000.0,32000000.0,32000000.0
Interior design,2,31000000.0,15500000.0,15500000.0
Real Estate,5,30600000.0,6120000.0,2100000.0
"Banking, Finance, Financial Services, Non Profit",1,30000000.0,30000000.0,30000000.0
"Automotive, E-Commerce Platforms, Marketplace",1,30000000.0,30000000.0,30000000.0
"Credit, Finance, FinTech, Lending, Sales Automation",1,30000000.0,30000000.0,30000000.0
"AgTech, B2B, Supply Chain Management",1,30000000.0,30000000.0,30000000.0
Customer service company,1,30000000.0,30000000.0,30000000.0
B2B startup,1,30000000.0,30000000.0,30000000.0
Tech startup,3,28400000.0,9466666.666666666,3000000.0
"Financial Services, Micro Lending",1,28000000.0,28000000.0,28000000.0
EdtTech,1,28000000.0,28000000.0,28000000.0
Food tech,1,26500000.0,26500000.0,26500000.0
Community platform,1,26000000.0,26000000.0,26000000.0
SpaceTech,4,25800000.0,6450000.0,6150000.0
Health,2,25500000.0,12750000.0,12750000.0
"Delivery Service, Food and Beverage, Food Delivery",1,25000000.0,25000000.0,25000000.0
Dairy startup,1,25000000.0,25000000.0,25000000.0
Software Company,1,25000000.0,25000000.0,25000000.0
"Information Services, Internet, Logistics, Supply Chain Management, Transportation",1,24355200.0,24355200.0,24355200.0
"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",1,24000000.0,24000000.0,24000000.0
"Energy, Solar",1,24000000.0,24000000.0,24000000.0
Ecommerce,7,23493000.0,3356142.8571428573,3000000.0
Apparel & Fashion,6,23200000.0,3866666.6666666665,850000.0
"B2B, E-Commerce, Mobile",1,23000000.0,23000000.0,23000000.0
Service industry,1,23000000.0,23000000.0,23000000.0
IT,3,22210000.0,7403333.333333333,2110000.0
"Consumer Goods, Manufacturing",1,22000000.0,22000000.0,22000000.0
OTT,1,22000000.0,22000000.0,22000000.0
Renewable Energy,3,21500000.0,7166666.666666667,4500000.0
Industrial Automation,2,21000000.0,10500000.0,10500000.0
Furniture,2,20200000.0,10100000.0,10100000.0
Beauty products,1,20000000.0,20000000.0,20000000.0
AI & Tech,1,20000000.0,20000000.0,20000000.0
Agriculture,1,20000000.0,20000000.0,20000000.0
Infratech,1,20000000.0,20000000.0,20000000.0
Beverage,1,20000000.0,20000000.0,20000000.0
Education Management,3,19000000.0,6333333.333333333,5000000.0
CleanTech,2,18240000.0,9120000.0,9120000.0
Heathcare,3,18000000.0,6000000.0,5000000.0
Biotechnology,5,17800000.0,3560000.0,3600000.0
Media,6,17500000.0,2916666.6666666665,1400000.0
Consulting,4,17250000.0,4312500.0,1050000.0
"Finance, FinTech, Mobile Payments",1,17200000.0,17200000.0,17200000.0
Food Industry,2,17000000.0,8500000.0,8500000.0
"E-Commerce, E-Commerce Platforms, Retail",1,16920000.0,16920000.0,16920000.0
"Food and Beverage, Food Processing, Manufacturing",1,16800000.0,16800000.0,16800000.0
Transport,3,16618700.0,5539566.666666667,7975700.0
Pharmaceutical,1,15500000.0,15500000.0,15500000.0
Software company,2,15200000.0,7600000.0,7600000.0
"Commercial Real Estate, Coworking, Office Administration, Real Estate",1,15000000.0,15000000.0,15000000.0
Cryptocurrency,1,15000000.0,15000000.0,15000000.0
Video,1,15000000.0,15000000.0,15000000.0
Social e-commerce,2,15000000.0,7500000.0,7500000.0
"E-Commerce, Retail, Shopping",1,15000000.0,15000000.0,15000000.0
"FinTech, Internet, Payments, Service Industry",1,14900000.0,14900000.0,14900000.0
Automobile Technology,1,14700000.0,14700000.0,14700000.0
"Beauty, Fashion, Wellness",1,13560000.0,13560000.0,13560000.0
"Big Data, Consumer Lending, FinTech",1,13400000.0,13400000.0,13400000.0
"Finance, Financial Services, FinTech",1,13200000.0,13200000.0,13200000.0
Information Technology,10,13040000.0,1304000.0,800000.0
Accomodation,2,12700000.0,6350000.0,6350000.0
"Health Care, Hospital",4,12684000.0,3171000.0,2910000.0
E-Commerce,2,12500000.0,6250000.0,6250000.0
Deeptech,5,12100000.0,2420000.0,1000000.0
"Financial Services, Insurance, Private Social Networking",1,12000000.0,12000000.0,12000000.0
Marketing & Advertising,3,12000000.0,4000000.0,3000000.0
"Logistics, Transportation, Travel",1,12000000.0,12000000.0,12000000.0
"EdTech, Education, Mobile, Tutoring",1,11000000.0,11000000.0,11000000.0
Farming,2,11000000.0,5500000.0,5500000.0
"Apps, E-Commerce, Internet",1,11000000.0,11000000.0,11000000.0
"E-Commerce, E-Commerce Platforms, Internet, Retail",1,11000000.0,11000000.0,11000000.0
E-Learning,3,10150000.0,3383333.3333333335,5000000.0
"Financial Services, Lending",3,10130000.0,3376666.6666666665,2000000.0
B2B Agritech,1,10000000.0,10000000.0,10000000.0
Tech platform,1,10000000.0,10000000.0,10000000.0
Product studio,1,10000000.0,10000000.0,10000000.0
"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",1,10000000.0,10000000.0,10000000.0
"E-Commerce, Fitness, Health Care",1,10000000.0,10000000.0,10000000.0
"Internet, Social Network, TV",1,10000000.0,10000000.0,10000000.0
"Food and Beverage, Restaurants, Tea",1,9720000.0,9720000.0,9720000.0
Tech company,2,9500000.0,4750000.0,4750000.0
Jewellery,2,9090000.0,4545000.0,4545000.0
"Biotechnology, Life Science, Pharmaceutical, Product Research",1,9000000.0,9000000.0,9000000.0
Consumer appliances,1,9000000.0,9000000.0,9000000.0
Logitech,1,9000000.0,9000000.0,9000000.0
Home Design,1,9000000.0,9000000.0,9000000.0
"Hospitality, Information Technology, Travel Accommodations",1,8760000.0,8760000.0,8760000.0
EdTech Startup,4,8550000.0,2137500.0,725000.0
Home interior services,1,8000000.0,8000000.0,8000000.0
Professional Training & Coaching,1,8000000.0,8000000.0,8000000.0
